132;121,75
128;122,48
122;123,48 
119;123,61 
118;123,61
117;123,61 
115;123,75
113;123,88
110;123,88
108;124,02 
102;124,02
98;124,30
90;124,43
88;124,44
86;124,44
84;124,57 
81;124,71
79;124,85
76;124,98
75;125,25
73;125,75 
72;125,75 
70;125,88
66;125,88
65;126,02
64;126,31 
62;126,46 
58;126,74
56;127,31 
54;128,75 
53;128,75 
52;128,89 
51;129,47 
50;129,61 
49;129,61
47;130,04
45;130,47 
44;132,54 
42;133,77 
41;143,26
40;156,67
39;156,83
38;167,40
36;186,66 
35;263,25 
34;319,24
33;443,33
32;443,77
31;715,94 
30;717,27
29;717,49
28;1279,79 
26;1366,59
25;7123,87
24;7124,72 
